year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe,lon,lat
1982,2.364,7.45,7.461,3.452,,6.174983985,5.35,3.204,2.503,,2.098,1.929,1.66,3.343,7.399,1.61,7.021,7.165,6.058,2.01,4.688,2.988,2.034,2.05,5.51,,5.346,3.838,1.922,3.84,6.402,5.988,5.904,1.69,2.140746548,1.56,1.433,2.648,2.536,7.383,6.688,6.587,5.86,3.632,7.056,6.17,3.521,3.469146807,1.831,,,2.415,2,1.41,6.471,3.52,1.43,4.122,6.43,3.004557476,5.015379764,2.86695928,2.634431931,2.141049062,4.501,5.516,1.698098847,6.693,1.94,2.07,7.397,1.795595114,6.372962321,1.71,3.813,1.86,2.3,6.02,5.721,1.78,2.284,6.392,,6.581,6.324,6.64,5.88,2.03,4.243,2.236,6.185,3.128,3.64,1.92343825,1.86,6.062,6.879002505,1.9,6.154,1.8,3.590512413,4.083260158,6.491320537,6.479116505,4.167,6.497224678,,4.703,,2.94,6.523,6.407,2.27,3.13,1.56,3.559,7.072,1.77,3,7.268,4.24,6.193,5.022,3.3,2.39,5.018,4.070056624,6.345,3.802,6.964,6.826,4.328,3.988057263,6.53942325,6.665180462,,3.223,5.102588834,4.109719177,5.453,2.78100478,1.97,1.49,1.97,1.953,2.44,5.44,,2.546,6.554,7.203,6.101309482,4.463,,3.932394182,2.449,7.15,1.9,4.644,6.130286861,2.208,5.864,,6.42,6.335,2.412,7.621,3.974,1.813532799,6.231,3.42,7.882,6.767,5.902,1.5,1.71,5.645,,1.95,2.144193574,8.352,4.722255825,6.474,3.675,4.795,4.978,,5.515,2.34,6.86734525,2.49,2.734,2.07,5.126,,4.853319121,1.800649241,3.858,5.5,2.17,2.04,8.41,4.988771767,7.047,6.674,7.245,1.74,6.525,6.715,4.82,,7.052,,6.747337877,6.813,6.734075163,4.400835337,6.276,3.715,2.28,1.93,1.62,6.567,,3.5,6.843,,7.023,3.008422269,2.572890338,7.094,3.024,5.613,4.895,4.068911515,5.384,6.130286861,5.475,4.988771767,6.734075163,3.261,4.915,4.155,,6.58,7.101,1.98,3.093823187,2.615,1.8275,4.868,3.692,4.014,,3,4.691,5.43,3.627168543,5.968,4.88,8.793,4.909,6.946,6.451,-88.177243,32.309744
1983,2.353,7.452,7.462,3.383,,6.081141486,5.283,3.159,2.517,,2.099,1.924,1.56,3.293,7.407,1.57,7.01,7.167,5.884,2.01,4.578,2.964,1.998,2.11,5.336,,5.289,3.723,1.889,3.751,6.336,5.833,5.909,1.68,2.143558787,1.52,1.429,2.619,2.561,7.278,6.704,6.612,5.752,3.527,7.026,6.068,3.5,3.399193612,1.831,,,2.438,1.97,1.33,6.426,,1.38,4.005,6.237,2.986649948,4.932747478,2.845425601,2.668220135,2.131091776,4.395,5.456,1.63929739,6.697,1.8,2.16,7.424,1.749904429,6.328264795,1.74,3.755,1.86,2.2,5.894,5.721,1.77,2.277,6.31,,6.602,6.292,6.694,5.903,1.94,4.245,2.054,6.086,3.1,3.548,1.882955776,1.722,5.932,6.858807659,1.88,6.149,1.75,3.555839553,4.045991646,6.437015111,6.43510002,4.028,6.437945548,,4.636,,2.74,6.483,6.338,2.24,3.106,1.51,3.477,6.936,1.8,3.04,7.16,4.195,6.296,4.988,,2.06,4.83,3.964073263,6.363,3.729,6.946,6.63,4.161,3.887078454,6.485514405,6.654536455,,3.12,5.0358369,4.07100515,5.381,2.777844537,2.1,1.43,2.07,2.046,2.4,5.288,,2.585,6.477,7.219,6.016117178,4.304,,3.892401344,2.426,7.15,1.92,4.502,6.042954866,2.192,5.696,,6.396,6.282,2.325,7.591,3.925,1.786931331,6.137,3.33,7.886,6.749,5.764,1.47,1.66,5.597,,1.92,2.098477696,8.34,4.710231473,6.444,3.581,4.68,4.883,,5.415,2.42,6.842631098,2.436,2.701,1.95,5.087,,4.777250546,1.765724875,3.812,5.322,2.06,2.11,8.357,4.917283268,6.933,6.605,7.189,1.61,6.431,6.724,4.684,,7.08,,6.720229127,6.806,6.707450588,4.369265032,6.217,3.64,2.28,1.81,1.61,6.434,,,6.695,,7.056,2.990704071,2.602737902,7.011,2.859,5.599,4.791,3.963470182,5.439,6.042954866,5.385,4.917283268,6.707450588,3.218,4.752,4.021,,6.542,7.102,2.08,3.075004138,2.574,1.799,4.763,3.561,3.933,,2.973,4.521,5.356,3.594587567,5.85,4.48,8.828,4.859,6.877,6.24,-86.495267,31.2971
1984,2.342,7.455,7.459,3.323,,5.977996082,5.215,3.123,2.538,,2.098,1.84,1.52,3.259,7.418,1.54,6.994,7.159,5.698,2.01,4.47,2.919,1.964,2.11,5.17,,5.238,3.6,1.858,3.675,6.262,5.652,5.914,1.65,2.164233006,1.53,1.429,2.601,2.607,7.176,6.707,6.636,5.644,3.43,6.982,5.97,3.482,3.323057558,1.838,,,2.453,1.97,1.29,6.378,,1.4,3.896,6.038,2.984835176,4.844659776,2.836305313,2.63306997,2.106320491,4.293,5.383,1.60197932,6.693,1.73,2.17,7.437,1.729148219,6.279738188,1.69,3.693,1.86,2.2,5.752,5.709,1.77,2.275,6.223,,6.619,6.258,6.727,5.926,1.83,4.243,2.107,5.977,3.092,3.452,1.859276138,1.559,5.802,6.833756244,1.87,6.106,1.75,3.520257402,4.00768871,6.377102063,6.389314943,3.887,6.371147714,,4.563,,2.58,6.392,6.276,2.08,3.082,1.46,3.394,6.773,1.81,3.08,7.042,4.16,6.338,4.952,,1.74,4.61,3.858908655,6.369,3.665,6.917,6.435,4.014,3.787185707,6.423696034,6.637827416,,3.012,4.960733803,4.030670087,5.302,2.77804191,2.07,1.42,2.09,2.104,2.29,5.117,,2.62,6.41,7.189,5.912395337,4.158,,3.850742626,2.399,7.15,1.95,4.351,5.936702005,2.175,5.526,,6.375,6.231,2.16,7.545,3.872,1.790655884,6.027,3.17,7.88,6.726,5.612,1.49,1.66,5.546,,1.93,2.062070253,8.299,4.66778405,6.415,3.494,4.568,4.795,,5.312,2.37,6.814878108,2.387,2.65,1.9,5.037,,4.701953147,1.740724099,3.774,5.128,2.26,2.06,8.282,4.840002982,6.798,6.535,7.111,1.62,6.349,6.729,4.554,,7.112,,6.687386936,6.806,6.674358244,4.316994059,6.158,3.57,2.26,1.74,1.66,6.265,,,6.534,,7.089,2.98956774,2.579585107,6.915,2.707,5.588,4.711,3.859077577,5.467,5.936702005,5.266,4.840002982,6.674358244,3.151,4.59,3.883,,6.504,7.103,2.09,3.057750909,2.546,1.8065,4.669,3.439,3.861,,2.967,4.359,5.282,3.564220247,5.734,4.82,8.853,4.792,6.81,6.034,-85.823842,33.668184
1985,2.332,7.458,7.451,3.269,,5.865643214,5.139,3.095,2.559,,2.093,1.923,1.47,2.91,7.432,1.51,6.972,7.142,5.501,1.97,4.36,2.857,1.932,2.09,5.019,,5.189,3.471,1.83,3.608,6.176,5.454,5.915,1.67,2.162172798,1.52,1.432,2.592,2.65,7.078,6.695,6.658,5.539,3.343,6.921,5.875,3.464,3.240469878,1.843,,,2.458,1.95,1.37,6.328,,1.45,3.795,5.835,2.981364852,4.750554502,2.828534683,2.599441289,2.09088668,4.195,5.293,1.59098337,6.68,1.64,2.13,7.435,1.722599714,6.227388654,1.64,3.629,1.86,2.3,5.6,5.686,1.79,2.273,6.131,,6.631,6.226,6.739,5.946,1.67,4.231,2.241,5.865,3.095,3.354,1.856220805,1.491,5.674,6.803569038,1.82,6.028,1.85,3.48152656,3.966309543,6.311089421,6.340835716,3.745,6.296546607,,4.484,,2.48,6.241,6.22,1.93,3.058,1.42,3.308,6.584,1.76,3.08,6.911,4.13,6.313,4.912,,1.66,4.357,3.755386332,6.361,3.611,6.875,6.236,3.888,3.689062335,6.353749593,6.614458117,,2.904,4.879211266,3.987951422,5.216,2.776993307,2.08,1.38,2.08,2.121,2.24,4.933,,2.643,6.353,7.106,5.786916462,4.026,,3.806652989,2.368,7.151,1.95,4.191,5.808773274,2.156,5.345,,6.354,6.179,2.02,7.482,3.816,1.826422257,5.904,3,7.865,6.698,5.448,1.51,1.68,5.49,,1.93,2.049858996,8.222,4.6125611,6.385,3.413,4.46,4.712,,5.21,2.33,6.783894821,2.344,2.581,1.72,4.974,,4.629712571,1.739153145,3.738,4.925,2.31,2.05,8.177,4.75688465,6.649,6.467,7.013,1.61,6.278,6.731,4.433,,7.149,,6.648267276,6.81,6.635130629,4.255037662,6.101,3.505,2.26,1.71,1.74,6.069,,,6.359,,7.124,2.987007992,2.549913547,6.808,2.571,5.573,4.65,3.756781559,5.47,5.808773274,5.128,4.75688465,6.635130629,3.06,4.425,3.741,,6.465,7.103,2.06,3.039800562,2.53,1.844,4.585,3.328,3.794,,2.973,4.205,5.209,3.536015831,5.62,4.56,8.864,4.705,6.746,5.836,-86.581138,34.721397
1986,2.32,7.46,7.435,3.217,,5.741149016,5.047,3.075,2.578,,2.083,1.868,1.45,2.9,7.443,1.54,6.942,7.119,5.298,2.02,4.245,2.789,1.9,2.09,4.886,,5.139,3.342,1.805,3.546,6.075,5.245,5.91,1.675,2.137672004,1.53,1.437,2.589,2.666,6.984,6.667,6.679,5.44,3.269,6.842,5.784,3.441,3.155191785,1.839,,,2.456,1.92,1.43,6.28,,1.48,3.703,5.627,2.959365939,4.650088583,2.803047315,2.633233875,2.097180222,4.1,5.182,1.579788198,6.659,1.56,2.18,7.418,1.709539207,6.170030916,1.6,3.568,1.85,2.4,5.446,5.653,1.78,2.269,6.032,,6.637,6.196,6.734,5.962,1.6,4.2,2.044,5.757,3.099,3.263,1.833462308,1.367,5.55,6.768775177,1.76,5.921,1.84,3.43821181,3.920233901,6.239466465,6.288419456,3.606,6.215470416,,4.399,,2.44,6.024,6.164,1.92,3.034,1.35,3.223,6.375,1.72,3.135,6.763,4.1,6.226,4.871,,1.58,4.074,3.655026668,6.342,3.563,6.82,6.023,3.781,3.593975926,6.27730513,6.587246114,,2.8,4.79406734,3.941027675,5.125,2.770109475,2.12,1.43,2.12,2.094,2.06,4.742,,2.646,6.307,6.967,5.635926484,3.904,,3.758336858,2.335,7.153,1.93,4.028,5.654958664,2.137,5.14,,6.332,6.126,1.99,7.395,3.759,1.821078366,5.771,3.17,7.845,6.664,5.278,1.55,1.71,5.431,,1.96,2.021317022,8.101,4.571251876,6.354,3.336,4.354,4.632,,5.11,2.22,6.749227943,2.308,2.503,1.66,4.9,,4.563793418,1.723982731,3.697,4.718,2.39,2.15,8.038,4.668270574,6.495,6.401,6.902,1.43,6.211,6.732,4.322,,7.191,,6.602173956,6.816,6.589270339,4.203737815,6.046,3.445,2.2,1.67,1.8,5.857,,,6.168,,7.161,2.965746015,2.572003565,6.69,2.451,5.543,4.603,3.657900394,5.457,5.654958664,4.989,4.668270574,6.589270339,2.949,4.252,3.598,,6.424,7.103,2.08,3.016684073,2.524,1.8375,4.509,3.23,3.73,,2.986,4.062,5.141,3.499520499,5.51,4.47,8.858,4.592,6.685,5.642,-85.966072,34.008019
1987,2.307,7.461,7.409,3.164,,5.608079012,4.934,3.059,2.591,,2.073,1.845,1.43,2.9026,7.448,1.54,6.904,7.092,5.092,1.96,4.124,2.729,1.868,2.03,4.771,,5.087,3.217,1.782,3.488,5.956,5.037,5.897,1.68,2.096933281,1.52,1.444,2.59,2.643,6.892,6.626,6.699,5.347,3.208,6.749,5.695,3.412,3.072186084,1.823,,,2.45,1.91,1.43,6.234,3,1.5,3.62,5.412,2.910834071,4.546497551,2.759234874,2.645035506,2.091578096,4.007,5.052,1.558213961,6.631,1.49,2.27,7.387,1.684298059,6.109812126,1.59,3.512,1.83,2.4,5.299,5.611,1.81,2.26,5.928,,6.637,6.168,6.717,5.974,1.5,4.146,2.083,5.658,3.097,3.186,1.828078583,1.311,5.432,6.729376127,1.64,5.799,1.82,3.377872136,3.860063855,6.164619965,6.235982181,3.472,6.12958127,,4.311,,2.32,5.748,6.105,2.06,3.01,1.33,3.142,6.156,1.69,3.19,6.599,4.065,6.097,4.829,2.8,1.53,3.777,3.558820479,6.313,3.52,6.752,5.79,3.683,3.502926141,6.196116516,6.55390337,,2.703,4.704892666,3.879938061,5.029,2.736995915,2.11,1.4,2.15,2.031,2.13,4.554,,2.625,6.27,6.78,5.464518551,3.79,5.9,3.69487547,2.301,7.156,1.97,3.867,5.479196064,2.12,4.906,,6.308,6.069,2.05,7.287,3.703,1.852529712,5.632,3.25,7.824,6.625,5.104,1.56,1.74,5.371,,2.03,2.006243287,7.933,4.534780878,6.318,3.262,4.247,4.554,,5.018,2.15,6.710567964,2.279,2.429,1.62,4.818,,4.504457503,1.718850495,3.645,4.516,2.38,2.22,7.863,4.576607237,6.342,6.337,6.785,1.62,6.139,6.731,4.221,,7.238,,6.549239914,6.816,6.536303601,4.158128534,5.992,3.391,2.14,1.65,1.84,5.646,,3,5.962,,7.199,2.917544714,2.573569959,6.566,2.346,5.495,4.557,3.563681438,5.444,5.479196064,4.864,4.576607237,6.536303601,2.827,4.07,3.461,,6.379,7.102,2.05,2.969481683,2.524,1.872,4.5,3.144,3.665,,2.997,3.929,5.078,3.455152601,5.404,4.43,8.833,4.458,6.624,5.448,-86.621667,32.854315
1988,2.291,7.461,7.373,3.108,,5.468058638,4.797,3.042,2.592,,2.067,1.831,1.45,2.8,7.444,1.57,6.858,7.064,4.887,1.97,3.997,2.683,1.835,2.031,4.671,,5.028,3.101,1.765,3.428,5.819,4.839,5.876,1.68,2.077648878,1.57,1.455,2.591,2.575,6.801,6.573,6.717,5.262,3.158,6.644,5.603,3.373,2.995518283,1.797,,,2.442,1.94,1.46,6.188,,1.56,3.544,5.191,2.83203471,4.438534616,2.692569052,2.567985867,2.061666633,3.917,4.906,1.562587044,6.596,1.45,2.27,7.347,1.686863189,6.047659681,1.69,3.465,1.81,2.6,5.167,5.562,1.82,2.243,5.82,,6.631,6.142,6.693,5.982,1.5,4.068,2.317,5.572,3.082,3.127,1.846561537,1.4,5.321,6.685789776,1.79,5.673,1.81,3.294606628,3.779943562,6.080797845,6.162073632,3.346,6.040853423,,4.222,,2.17,5.427,6.039,2.26,2.948,1.36,3.069,5.938,1.66,3.13,6.425,4.02,5.944,4.784,,1.55,3.482,3.467454941,6.274,3.475,6.673,5.533,3.589,3.416402656,6.112229021,6.516803751,,2.617,4.611433324,3.798287141,4.929,2.662302809,2.02,1.51,2.11,1.944,2.13,4.374,,2.578,6.237,6.555,5.276068931,3.68,,3.609309838,2.269,7.161,2.06,3.714,5.28560203,2.104,4.644,,6.281,6.009,2.14,7.16,3.65,1.908162066,5.493,3.1,7.803,6.582,4.931,1.55,1.84,5.308,,2.1,2.010515607,7.719,4.50408796,6.276,3.19,4.138,4.476,,4.934,2.13,6.667921224,2.256,2.369,1.61,4.73,,4.452224131,1.737651428,3.579,4.329,2.3,2.12,7.657,4.48391457,6.194,6.274,6.668,1.96,6.056,6.73,4.129,,7.289,,6.490182171,6.808,6.478419164,4.116652164,5.938,3.345,2.13,1.63,1.96,5.447,,,5.746,,7.238,2.838470718,2.504153153,6.437,2.256,5.427,4.504,3.474434747,5.441,5.28560203,4.763,4.48391457,6.478419164,2.7,3.878,3.331,,6.328,7.1,2.02,2.886327176,2.525,1.934,4.28,3.072,3.597,,2.999,3.802,5.022,3.398925996,5.303,4.26,8.786,4.306,6.563,5.252,-87.99046,34.12598
1989,2.272,7.461,7.328,3.046,,5.322720079,4.636,3.022,2.578,,2.064,1.838,1.45,2.8,7.43,1.58,6.805,7.036,4.686,1.9,3.866,2.655,1.803,2.026,4.584,,4.963,2.995,1.75,3.363,5.664,4.654,5.847,1.77,2.017746181,1.56,1.468,2.589,2.46,6.71,6.509,6.733,5.185,3.117,6.531,5.504,3.324,2.926206447,1.759,,,2.43,1.87,1.42,6.137,,1.62,3.475,4.962,2.721600319,4.330125859,2.58831521,2.469423633,2.000657388,3.829,4.747,1.529802686,6.552,1.4,2.22,7.298,1.650698929,5.984772742,1.71,3.427,1.79,2.7,5.052,5.505,1.79,2.217,5.71,,6.618,6.118,6.663,5.986,1.4,3.966,2.299,5.5,3.053,3.089,1.836983963,1.296,5.218,6.638586352,1.63,5.549,1.82,3.191759206,3.684043942,5.996956034,6.092312314,3.229,5.950067413,,4.132,,2.08,5.07,5.965,2.19,2.886,1.33,3.003,5.725,1.57,2.82,6.244,3.875,5.777,4.738,,1.56,3.205,3.380933535,6.222,3.428,6.587,5.256,3.495,3.334310669,6.027243439,6.477574751,,2.544,4.515278708,3.701504836,4.826,2.556208197,1.98,1.52,2.05,1.838,2.2,4.205,,2.506,6.208,6.295,5.074428483,3.574,,3.50744355,2.238,7.164,2.1,3.573,5.077196124,2.091,4.356,,6.248,5.946,2.23,7.019,3.6,1.988999261,5.354,2.97,7.786,6.537,4.762,1.55,1.89,5.242,,2.12,1.999667839,7.462,4.45383249,6.225,3.121,4.026,4.397,,4.861,2.08,6.621962169,2.236,2.323,1.57,4.639,,4.404893165,1.731085195,3.498,4.159,2.22,2.01,7.427,4.390456223,6.052,6.213,6.555,1.75,5.961,6.726,4.043,,7.343,,6.425856592,6.789,6.41472989,4.065404883,5.884,3.304,2.07,1.52,2.01,5.267,,,5.526,,7.276,2.727114987,2.410329855,6.309,2.179,5.336,4.436,3.389972035,5.452,5.077196124,4.691,4.390456223,6.41472989,2.574,3.678,3.213,,6.273,7.097,1.92,2.776290694,2.525,2.014,4.179,3.01,3.524,,2.987,3.68,4.971,3.324333338,5.208,3.92,8.713,4.139,6.502,5.055,-87.824824,33.708019
1990,2.249,7.466,7.272,2.978,,5.186831545,4.454,2.997,2.544,,2.067,1.902,1.46,2.74,7.405,1.62,6.744,7.007,4.495,1.82,3.732,2.64,1.772,1.913,4.508,,4.89,2.902,1.74,3.29,5.493,4.485,5.811,1.83,1.931081933,1.58,1.483,2.579,2.309,6.622,6.436,6.746,5.119,3.082,6.412,5.392,3.264,2.865766722,1.714,,,2.411,1.9,1.45,6.073,,1.67,3.411,4.726,2.587220263,4.225143777,2.471901236,2.375733328,1.957552364,3.744,4.58,1.534250671,6.496,1.36,2.05,7.246,1.634803054,5.92577133,1.78,3.398,1.77,2.8,4.958,5.442,1.83,2.18,5.602,,6.598,6.096,6.627,5.987,1.39,3.842,2.444,5.437,3.013,3.069,1.851917848,1.272,5.123,6.589262795,1.63,5.43,1.87,3.076805737,3.578200302,5.911590147,6.01678298,3.122,5.859827682,,4.045,,2.11,4.691,5.882,2.3,2.824,1.33,2.947,5.521,1.54,2.72,6.066,3.63,5.601,4.688,,1.57,2.967,3.299801194,6.151,3.372,6.499,4.966,3.399,3.25701817,5.943485052,6.437938752,,2.483,4.42295802,3.597353217,4.721,2.427033303,2.03,1.6,2.02,1.722,2.12,4.047,,2.414,6.179,6.003,4.877631573,3.47,,3.397635739,2.206,7.165,2.02,3.447,4.874590831,2.078,4.052,,6.211,5.881,2.32,6.872,3.554,2.055205556,5.219,3.18,7.772,6.49,4.596,1.62,1.93,5.172,,2.18,2.010222532,7.165,4.39048828,6.164,3.057,3.912,4.32,2.84,4.802,2.06,6.573277707,2.219,2.289,1.56,4.547,6.718,4.36023921,1.749054235,3.401,4.013,1.83,1.892,7.184,4.29989729,5.911,6.152,6.448,1.83,5.851,6.721,3.964,,7.398,,6.358199968,6.761,6.347730005,4.007698392,5.828,3.267,2.09,1.46,2.13,5.106,,,5.309,,7.313,2.591306322,2.308292151,6.185,2.113,5.225,4.344,3.310471532,5.478,4.858933873,4.644,4.29989729,6.347730005,2.453,3.476,3.107,,6.213,7.091,1.844,2.648603011,2.52,2.081,4.072,2.956,3.448,,2.954,3.553,4.926,3.248472333,5.118,3.9,8.606,3.964,6.442,4.862,-86.003217,34.004294
1991,2.221,7.479,7.208,2.905,,5.036091319,4.253,2.965,2.484,,2.075,1.849,1.51,2.87,7.371,1.66,6.677,6.979,4.315,1.66,3.599,2.633,1.748,1.805,4.436,,4.81,2.822,1.733,3.206,5.306,4.33,5.771,1.7,1.855832937,1.58,1.499,2.558,2.14,6.536,6.354,6.758,5.064,3.047,6.291,5.259,3.193,2.812647686,1.668,,,2.381,1.86,1.33,5.986,,1.68,3.349,4.479,2.442449179,4.12064871,2.346213574,2.270575737,1.89269989,3.665,4.413,1.488901461,6.423,1.33,1.8,7.193,1.583805658,5.864325249,1.79,3.374,1.75,2.6,4.882,5.371,1.82,2.132,5.499,,6.57,6.077,6.582,5.985,1.37,3.701,2.421,5.38,2.969,3.063,1.824756981,1.281,5.039,6.538395551,1.53,5.317,1.87,2.954666167,3.466988945,5.834104353,5.957189122,3.022,5.773599238,,3.959,,2.08,4.304,5.793,2.18,2.762,1.3,2.899,5.326,1.53,2.61,5.901,3.58,5.421,4.635,,1.71,2.791,3.223605586,6.054,3.306,6.415,4.67,3.302,3.184002128,5.861839582,6.395848364,,2.433,4.331112387,3.485597417,4.614,2.28569963,2.01,1.6,1.86,1.605,2.05,3.896,,2.309,6.149,5.68,4.663900408,3.369,,3.279888633,2.171,7.159,1.99,3.338,4.65397208,2.063,3.746,,6.167,5.818,2.3,6.728,3.51,2.025285878,5.087,3.15,7.761,6.443,4.432,1.61,1.92,5.099,,2.16,1.984330815,6.831,4.301937798,6.091,2.999,3.794,4.246,,4.756,2.07,6.522992521,2.201,2.262,1.56,4.457,6.674,4.313355649,1.723724066,3.291,3.893,1.59,1.732,6.942,4.210600134,5.761,6.091,6.346,1.73,5.728,6.711,3.889,,7.455,1.8,6.287595924,6.726,6.277412305,3.932496446,5.769,3.231,2.05,1.42,2.11,4.962,,,5.106,,7.346,2.444907372,2.208333987,6.068,2.055,5.1,4.222,3.235245622,5.515,4.636638336,4.612,4.210600134,6.277412305,2.339,3.276,3.016,,6.148,7.082,1.773,2.508885449,2.509,2.0625,4.199,2.907,3.37,,2.895,3.415,4.883,3.157392739,5.034,3.58,8.459,3.784,6.384,4.676,-86.742999,31.636337
1992,2.187,7.502,7.138,2.829,,4.903709878,4.041,2.925,2.4,,2.088,1.888,1.51,2.74,7.329,1.65,6.603,6.95,4.146,1.55,3.471,2.623,1.73,1.764,4.363,,4.726,2.754,1.728,3.111,5.11,4.183,5.729,1.71,1.751285157,1.58,1.518,2.526,1.977,6.454,6.264,6.767,5.019,3.01,6.171,5.102,3.114,2.765529637,1.628,,,2.337,1.71,1.29,5.869,2.5,1.76,3.287,4.223,2.302365588,4.016243927,2.223626003,2.152511243,1.819952811,3.591,4.253,1.467769596,6.332,1.31,1.71,7.141,1.544910123,5.80465233,1.85,3.352,1.74,2.5,4.82,5.292,1.79,2.076,5.403,,6.535,6.059,6.526,5.984,1.36,3.551,2.607,5.32,2.929,3.066,1.801494641,1.347,4.963,6.488576438,1.48,5.208,1.77,2.838768835,3.36138719,5.750034519,5.869515681,2.929,5.691343236,,3.877,,1.99,3.923,5.7,2.21,2.7,1.3,2.86,5.138,1.502,2.5,5.755,3.52,5.237,4.576,2.6,1.76,2.682,3.15220567,5.928,3.228,6.337,4.381,3.203,3.11509557,5.783850735,6.355751579,,2.39,4.236571695,3.379982567,4.506,2.148131433,1.97,1.64,1.73,1.494,1.94,3.746,,2.199,6.116,5.332,4.466094818,3.273,,3.167794835,2.131,7.146,2.07,3.244,4.434623809,2.046,3.45,,6.119,5.759,2.37,6.596,3.466,2.011581456,4.958,2.99,7.752,6.395,4.267,1.59,1.88,5.02,,2.12,1.958254239,6.472,4.23214889,6.007,2.95,3.673,4.177,,4.723,1.95,6.47276187,2.179,2.235,1.54,4.368,6.607,4.265002445,1.703760542,3.175,3.795,1.51,1.552,6.713,4.125217695,5.594,6.028,6.246,1.72,5.596,6.696,3.815,,7.512,,6.217684822,6.686,6.207513083,3.872503117,5.704,3.195,1.93,1.33,2.09,4.827,2.03,2.696,4.92,,7.376,2.303271117,2.092428993,5.96,2.003,4.967,4.071,3.164103121,5.556,4.415796522,4.583,4.125217695,6.207513083,2.231,3.085,2.937,,6.081,7.071,1.674,2.376668342,2.491,2.046,4.004,2.86,3.292,,2.812,3.26,4.841,3.071604901,4.956,2.96,8.272,3.607,6.329,4.503,-85.855113,31.318587
